
'''
model: qwen2 and random init
trainer: huggingface
train_single_ds.py
'''



ssh://data@192.168.100.24:22/usr/bin/python3.10 -u /data/expGPT/finetune_qwen/train_single_ds.py
[2024-09-23 09:06:41,193] [INFO] [real_accelerator.py:203:get_accelerator] Setting ds_accelerator to cuda (auto detect)
2024-09-23 09:06:42.399408: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-09-23 09:06:42.407284: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:485] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
2024-09-23 09:06:42.415925: E external/local_xla/xla/stream_executor/cuda/cuda_dnn.cc:8454] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
2024-09-23 09:06:42.418528: E external/local_xla/xla/stream_executor/cuda/cuda_blas.cc:1452] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2024-09-23 09:06:42.425019: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-09-23 09:06:42.906749: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
/home/data/.local/lib/python3.10/site-packages/transformers/deepspeed.py:24: FutureWarning: transformers.deepspeed module is deprecated and will be removed in a future version. Please import deepspeed modules directly from transformers.integrations
  warnings.warn(
/home/data/.local/lib/python3.10/site-packages/transformers/training_args.py:1539: FutureWarning: `evaluation_strategy` is deprecated and will be removed in version 4.46 of 🤗 Transformers. Use `eval_strategy` instead
  warnings.warn(
<|im_end|>
{'eos_token': AddedToken("<|im_end|>", rstrip=False, lstrip=False, single_word=False, normalized=False, special=True), 'pad_token': '<|im_end|>', 'additional_special_tokens': ['<|im_start|>', '<|im_end|>']}
151643
n_vocab: 151643
Load from cache: /data/data/llm_data/pretrain_20240920.pkl
train_dataset_len: 762576
Using auto half precision backend
Currently training with a batch size of: 8
***** Running training *****
  Num examples = 762,576
  Num Epochs = 100,000
  Instantaneous batch size per device = 8
  Total train batch size (w. parallel, distributed & accumulation) = 128
  Gradient Accumulation steps = 16
  Total optimization steps = 595,700,000
  Number of trainable parameters = 494,032,768
{'loss': 8.8162, 'grad_norm': 5.275643825531006, 'learning_rate': 0.009999996659392312, 'epoch': 0.03}
{'loss': 8.5578, 'grad_norm': 2.161902666091919, 'learning_rate': 0.009999996642605338, 'epoch': 0.03}
{'loss': 8.4821, 'grad_norm': 96.29856872558594, 'learning_rate': 0.009999996625818365, 'epoch': 0.03}
{'loss': 8.714, 'grad_norm': 193.0569305419922, 'learning_rate': 0.009999996609031392, 'epoch': 0.03}
{'loss': 8.6782, 'grad_norm': 465.0464782714844, 'learning_rate': 0.009999996592244417, 'epoch': 0.03}
{'loss': 8.644, 'grad_norm': 223.9678192138672, 'learning_rate': 0.009999996575457444, 'epoch': 0.03}
{'loss': 8.3303, 'grad_norm': 76.31757354736328, 'learning_rate': 0.009999996558670472, 'epoch': 0.03}
{'loss': 8.5396, 'grad_norm': 263.96673583984375, 'learning_rate': 0.009999996541883499, 'epoch': 0.03}
{'loss': 8.4246, 'grad_norm': 170.24237060546875, 'learning_rate': 0.009999996525096526, 'epoch': 0.03}
{'loss': 8.3878, 'grad_norm': 1010.9183959960938, 'learning_rate': 0.009999996508309553, 'epoch': 0.03}
{'loss': 8.2822, 'grad_norm': 235.7862091064453, 'learning_rate': 0.009999996491522578, 'epoch': 0.04}
{'loss': 8.2021, 'grad_norm': 173.67742919921875, 'learning_rate': 0.009999996474735606, 'epoch': 0.04}
{'loss': 8.143, 'grad_norm': 47.7368278503418, 'learning_rate': 0.009999996457948633, 'epoch': 0.04}
{'loss': 8.1901, 'grad_norm': 328.7507019042969, 'learning_rate': 0.009999996441161658, 'epoch': 0.04}
{'loss': 8.0869, 'grad_norm': 172.79173278808594, 'learning_rate': 0.009999996424374685, 'epoch': 0.04}
{'loss': 8.0413, 'grad_norm': 306.87841796875, 'learning_rate': 0.009999996407587712, 'epoch': 0.04}
{'loss': 8.0955, 'grad_norm': 104.42972564697266, 'learning_rate': 0.009999996390800738, 'epoch': 0.04}
{'loss': 8.166, 'grad_norm': 105.32633209228516, 'learning_rate': 0.009999996374013765, 'epoch': 0.04}
{'loss': 8.7624, 'grad_norm': 65.17142486572266, 'learning_rate': 0.009999996357226792, 'epoch': 0.04}
{'loss': 9.755, 'grad_norm': 306.0655212402344, 'learning_rate': 0.00999999634043982, 'epoch': 0.04}
{'loss': 10.021, 'grad_norm': 188.5802459716797, 'learning_rate': 0.009999996323652846, 'epoch': 0.04}
{'loss': 11.42, 'grad_norm': 461.313720703125, 'learning_rate': 0.009999996306865874, 'epoch': 0.04}
{'loss': 10.3945, 'grad_norm': 342.8676452636719, 'learning_rate': 0.009999996290078899, 'epoch': 0.04}
{'loss': 9.3186, 'grad_norm': 119.78960418701172, 'learning_rate': 0.009999996273291926, 'epoch': 0.04}
{'loss': 10.097, 'grad_norm': 154.72337341308594, 'learning_rate': 0.009999996256504952, 'epoch': 0.04}
{'loss': 9.0275, 'grad_norm': 414.12750244140625, 'learning_rate': 0.009999996239717979, 'epoch': 0.04}
{'loss': 8.4369, 'grad_norm': 182.9403839111328, 'learning_rate': 0.009999996222931006, 'epoch': 0.04}
{'loss': 7.9304, 'grad_norm': 29.615558624267578, 'learning_rate': 0.009999996206144031, 'epoch': 0.04}
{'loss': 7.8618, 'grad_norm': 53.40037536621094, 'learning_rate': 0.009999996189357058, 'epoch': 0.04}
{'loss': 7.8173, 'grad_norm': 37.533023834228516, 'learning_rate': 0.009999996172570086, 'epoch': 0.04}
{'loss': 7.948, 'grad_norm': 59.344207763671875, 'learning_rate': 0.009999996155783113, 'epoch': 0.04}
{'loss': 7.8789, 'grad_norm': 464.1104736328125, 'learning_rate': 0.00999999613899614, 'epoch': 0.04}
{'loss': 7.9309, 'grad_norm': 97.58732604980469, 'learning_rate': 0.009999996122209167, 'epoch': 0.04}
{'loss': 7.9021, 'grad_norm': 54.018836975097656, 'learning_rate': 0.009999996105422192, 'epoch': 0.04}
{'loss': 7.8351, 'grad_norm': 85.35753631591797, 'learning_rate': 0.00999999608863522, 'epoch': 0.04}
{'loss': 8.0374, 'grad_norm': 82.728515625, 'learning_rate': 0.009999996071848247, 'epoch': 0.04}
{'loss': 8.3068, 'grad_norm': 25.318775177001953, 'learning_rate': 0.009999996055061272, 'epoch': 0.04}
{'loss': 16.0078, 'grad_norm': 27.695920944213867, 'learning_rate': 0.0099999960382743, 'epoch': 0.04}
{'loss': 14.2581, 'grad_norm': 221.92185974121094, 'learning_rate': 0.009999996021487326, 'epoch': 0.04}
{'loss': 10.2699, 'grad_norm': 52.69845199584961, 'learning_rate': 0.009999996004700352, 'epoch': 0.04}
{'loss': 7.8495, 'grad_norm': 78.34488677978516, 'learning_rate': 0.009999995987913379, 'epoch': 0.04}
{'loss': 7.8065, 'grad_norm': 19.133129119873047, 'learning_rate': 0.009999995971126406, 'epoch': 0.04}
{'loss': 8.2418, 'grad_norm': 39.74380874633789, 'learning_rate': 0.009999995954339433, 'epoch': 0.04}
{'loss': 8.6165, 'grad_norm': 39.219032287597656, 'learning_rate': 0.00999999593755246, 'epoch': 0.04}
{'loss': 7.7802, 'grad_norm': 5.182892322540283, 'learning_rate': 0.009999995920765488, 'epoch': 0.04}
{'loss': 7.8443, 'grad_norm': 6.051662445068359, 'learning_rate': 0.009999995903978513, 'epoch': 0.04}
{'loss': 7.9084, 'grad_norm': 4.1041579246521, 'learning_rate': 0.00999999588719154, 'epoch': 0.04}
{'loss': 11.0465, 'grad_norm': 42.60673904418945, 'learning_rate': 0.009999995870404567, 'epoch': 0.04}
{'loss': 10.5311, 'grad_norm': 65.44048309326172, 'learning_rate': 0.009999995853617593, 'epoch': 0.04}
{'loss': 9.9819, 'grad_norm': 4.065088272094727, 'learning_rate': 0.00999999583683062, 'epoch': 0.04}
{'loss': 10.9471, 'grad_norm': 124.88111877441406, 'learning_rate': 0.009999995820043645, 'epoch': 0.04}
{'loss': 9.7036, 'grad_norm': 40.50625991821289, 'learning_rate': 0.009999995803256672, 'epoch': 0.04}
{'loss': 9.5258, 'grad_norm': 124.58274841308594, 'learning_rate': 0.0099999957864697, 'epoch': 0.04}
{'loss': 9.8017, 'grad_norm': 91.12667083740234, 'learning_rate': 0.009999995769682727, 'epoch': 0.04}
{'loss': 9.5644, 'grad_norm': 275.9885559082031, 'learning_rate': 0.009999995752895754, 'epoch': 0.04}
{'loss': 9.2575, 'grad_norm': 59.24107360839844, 'learning_rate': 0.009999995736108781, 'epoch': 0.04}
{'loss': 8.957, 'grad_norm': 93.82684326171875, 'learning_rate': 0.009999995719321806, 'epoch': 0.04}
{'loss': 8.8092, 'grad_norm': 30.270816802978516, 'learning_rate': 0.009999995702534833, 'epoch': 0.04}
{'loss': 10.4117, 'grad_norm': 22.723783493041992, 'learning_rate': 0.00999999568574786, 'epoch': 0.04}
{'loss': 14.5476, 'grad_norm': 280.65631103515625, 'learning_rate': 0.009999995668960886, 'epoch': 0.04}
{'loss': 12.7509, 'grad_norm': 100.21766662597656, 'learning_rate': 0.009999995652173913, 'epoch': 0.04}
{'loss': 11.6832, 'grad_norm': 9.994769096374512, 'learning_rate': 0.00999999563538694, 'epoch': 0.04}
{'loss': 12.4766, 'grad_norm': 230.2582550048828, 'learning_rate': 0.009999995618599966, 'epoch': 0.04}
{'loss': 10.1644, 'grad_norm': 116.15943145751953, 'learning_rate': 0.009999995601812993, 'epoch': 0.04}
{'loss': 9.4381, 'grad_norm': 355.5387878417969, 'learning_rate': 0.00999999558502602, 'epoch': 0.04}
{'loss': 9.4607, 'grad_norm': 183.19554138183594, 'learning_rate': 0.009999995568239047, 'epoch': 0.04}
{'loss': 9.3572, 'grad_norm': 6.389952182769775, 'learning_rate': 0.009999995551452074, 'epoch': 0.04}
{'loss': 11.6557, 'grad_norm': 50.000308990478516, 'learning_rate': 0.0099999955346651, 'epoch': 0.04}
{'loss': 9.6906, 'grad_norm': 133.89291381835938, 'learning_rate': 0.009999995517878127, 'epoch': 0.04}
  0%|                           | 267/595700000 [42:04<1565427:18:39,  9.46s/it]
